fid,FID_RR1826,track,VxCount,Gauge,RRname,InOpBy,ExactDate,FIDAll,Edited,Miles,FID_1900St,STATENAM,length_m
"36","32060",6.42508,"10",0,,"1877","0","0","0",6.425,"26",Nebraska,10352.726
"37","32062",1.14083,"3",0,,"1877","0","0","0",1.141,"26",Nebraska,1839.704
"38","32071",6.48363,"10",0,,"1877","0","0","0",6.484,"26",Nebraska,10417.811
"39","32089",2.2388,"6",0,,"1877","0","0","0",2.239,"26",Nebraska,3574.076
"40","32109",9.58736,"21",0,,"1877","0","0","0",9.587,"26",Nebraska,15330.238
"41","32109",9.58736,"21",0,,"1877","0","0","0",9.587,"26",Nebraska,15330.238
"42","32129",6.77787,"11",0,,"1877","0","0","0",6.778,"26",Nebraska,10936.131
"47","34557",24.0341,"16",0,,"1877","0","0","0",24.034,"26",Nebraska,38773.06
"48","34563",4.32604,"5",0,,"1877","0","0","0",4.326,"40",South Dakota,6972.529
"50","34573",4.1084,"12",0,,"1877","0","0","0",4.108,"26",Nebraska,6548.921
"51","34576",6.62924,"10",0,,"1877","0","0","0",6.629,"40",South Dakota,10679.294
"52","34578",6.8947,"7",0,,"1877","0","0","0",6.895,"40",South Dakota,11111.792
"53","34579",4.25584,"14",0,,"1877","0","0","0",4.256,"40",South Dakota,6839.44
"54","34948",3.8988,"20",0,,"1877","0","0","0",3.899,"26",Nebraska,6178.481
"63","35139",1.91491,"6",0,,"1881","0","0","0",1.915,"33",North Dakota,3097.702
"64","35147",2.37593,"2",0,,"1881","0","0","0",2.376,"33",North Dakota,3845.318
"65","35159",5.49663,"4",0,,"1881","0","0","0",5.497,"33",North Dakota,8894.039
"66","35174",5.62623,"3",0,,"1881","0","0","0",5.626,"33",North Dakota,9100.938
"67","35190",4.50883,"5",0,,"1881","0","0","0",4.509,"33",North Dakota,7158.233
"69","36915",7.06303,"10",0,,"1881","0","0","0",7.063,"26",Nebraska,11414.385
"70","36918",1.57057,"3",0,,"1881","0","0","0",1.571,"26",Nebraska,2420.714
"71","36919",4.69252,"4",0,,"1881","0","0","0",4.693,"26",Nebraska,7596.917
"72","36929",1.56958,"5",0,,"1881","0","0","0",1.57,"26",Nebraska,2251.759
"73","36933",8.31625,"20",0,,"1881","0","0","0",8.316,"26",Nebraska,12017.144
"74","36937",6.63345,"6",0,,"1881","0","0","0",6.633,"26",Nebraska,10736.601
"75","36943",6.58753,"14",0,,"1881","0","0","0",6.588,"26",Nebraska,10655.935
"76","36948",20.6753,"120",0,,"1881","0","0","0",20.675,"26",Nebraska,33351.701
"104","42259",3.54264,"4",0,,"1881","0","0","0",3.543,"26",Nebraska,5622.739
"105","42260",3.98476,"9",0,,"1881","0","0","0",3.985,"26",Nebraska,6302.323
"106","42261",24.9322,"19",0,,"1881","0","0","0",24.932,"26",Nebraska,40090.144
"107","42262",7.57026,"15",0,,"1881","0","0","0",7.57,"26",Nebraska,12126.955
"108","42263",10.3871,"24",0,,"1881","0","0","0",10.387,"40",South Dakota,16620.512
"109","42264",7.38383,"9",0,,"1881","0","0","0",7.384,"40",South Dakota,11850.038
"110","42265",6.20317,"7",0,,"1881","0","0","0",6.203,"40",South Dakota,9959.091
"111","42266",5.4597,"3",0,,"1881","0","0","0",5.46,"40",South Dakota,8766.057
"112","42266",5.4597,"3",0,,"1881","0","0","0",5.46,"40",South Dakota,8766.057
