GISJOIN,STATEFP,PLACEFP,PLACENS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,PCICBSA,PCINECTA,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Leng,Shape_Area
G31000415,"31","00415","02393893","3100415",Ainsworth,Ainsworth city,"25",C5,N,N,G4110,A,2600318.00000000000,0.00000000000,"+42.5484390","-099.8575224",10070.19219580000,2600318.84589000000
G31002550,"31","02550","02394013","3102550",Atkinson,Atkinson city,"25",C1,N,N,G4110,A,4237368.00000000000,0.00000000000,"+42.5308677","-098.9747280",14279.68467190000,4237369.47051000036
G31003215,"31","03215","02394076","3103215",Bassett,Bassett city,"25",C1,N,N,G4110,A,1149327.00000000000,0.00000000000,"+42.5825413","-099.5366247",6299.32394337000,1149329.01130999997
G31003250,"31","03250","02394082","3103250",Battle Creek,Battle Creek city,"25",C1,N,N,G4110,A,1827369.00000000000,0.00000000000,"+41.9981188","-097.5994648",6760.71010367000,1827371.19436999992
G31009445,"31","09445","02397643","3109445",Clearwater,Clearwater village,"47",C1,N,N,G4110,A,949474.00000000000,0.00000000000,"+42.1706976","-098.1897266",4322.12356081000,949473.72449599998
G31009655,"31","09655","02398583","3109655",Clinton,Clinton village,"47",C1,N,N,G4110,A,242808.00000000000,0.00000000000,"+42.7597200","-102.3478828",2547.05866350000,242807.55206300001
G31009760,"31","09760","02398594","3109760",Cody,Cody village,"47",C1,N,N,G4110,A,2670379.00000000000,0.00000000000,"+42.9377459","-101.2489275",6516.13947263000,2670380.66712999996
G31011475,"31","11475","02398653","3111475",Crookston,Crookston village,"47",C1,N,N,G4110,A,1125995.00000000000,0.00000000000,"+42.9263106","-100.7534356",4950.95985752000,1125997.25414000009
G31015815,"31","15815","02398829","3115815",Emmet,Emmet village,"47",C1,N,N,G4110,A,667731.00000000000,0.00000000000,"+42.4756985","-098.8093017",3262.97793814000,667729.60246600001
G31016270,"31","16270","02398848","3116270",Ewing,Ewing village,"47",C1,N,N,G4110,A,1154218.00000000000,0.00000000000,"+42.2593592","-098.3437465",5887.45735151000,1154216.41928000003
G31019350,"31","19350","02394933","3119350",Gordon,Gordon city,"25",C5,N,N,G4110,A,2412412.00000000000,0.00000000000,"+42.8064321","-102.2039383",11850.28469700000,2412414.56397000002
G31021730,"31","21730","02398268","3121730",Hay Springs,Hay Springs village,"47",C1,N,N,G4110,A,974589.00000000000,0.00000000000,"+42.6832898","-102.6895931",4465.25435822000,974594.73618899996
G31024075,"31","24075","02398576","3124075",Inman,Inman village,"47",C1,N,N,G4110,A,740600.00000000000,0.00000000000,"+42.3819146","-098.5298142",3624.20194046000,740602.99409299996
G31024740,"31","24740","02398308","3124740",Johnstown,Johnstown village,"47",C1,N,N,G4110,A,1379841.00000000000,0.00000000000,"+42.5721027","-100.0562889",4944.87191446000,1379841.81261999998
G31025405,"31","25405","02398345","3125405",Kilgore,Kilgore village,"47",C1,N,N,G4110,A,1159714.00000000000,0.00000000000,"+42.9390974","-100.9573051",4828.49441858000,1159712.89137000008
G31029050,"31","29050","02395757","3129050",Long Pine,Long Pine city,"25",C1,N,N,G4110,A,1500517.00000000000,0.00000000000,"+42.5352522","-099.7026980",7878.03294261000,1500517.05263999989
G31031465,"31","31465","02399300","3131465",Meadow Grove,Meadow Grove village,"47",C1,N,N,G4110,A,790252.00000000000,0.00000000000,"+42.0290071","-097.7360402",4160.95612447000,790250.42515100003
G31031815,"31","31815","02399320","3131815",Merriman,Merriman village,"47",C1,N,N,G4110,A,2659545.00000000000,0.00000000000,"+42.9229984","-101.6997320",6847.43894456000,2659543.32110999990
G31033775,"31","33775","00838151","3133775",Neligh,Neligh city,"25",C5,N,N,G4110,A,3785852.00000000000,29508.00000000000,"+42.1290929","-098.0292289",14933.26165110000,3815364.19034000020
G31033985,"31","33985","02399445","3133985",Nenzel,Nenzel village,"47",C1,N,N,G4110,A,805808.00000000000,0.00000000000,"+42.9273540","-101.1018038",4046.93007540000,805808.92534199997
G31034265,"31","34265","02399493","3134265",Newport,Newport village,"47",C1,N,N,G4110,A,823260.00000000000,0.00000000000,"+42.6002180","-099.3283022",4627.49633678000,823260.82081399998
G31035385,"31","35385","02399541","3135385",Oakdale,Oakdale village,"47",C1,N,N,G4110,A,1346199.00000000000,0.00000000000,"+42.0700842","-097.9671589",5488.08362612000,1346198.98075000010
G31037105,"31","37105","00838176","3137105",O'Neill,O'Neill city,"25",C5,N,N,G4110,A,6178306.00000000000,0.00000000000,"+42.4610187","-098.6464933",15806.78459110000,6178311.04576999974
G31042775,"31","42775","02396454","3142775",Rushville,Rushville city,"25",C5,N,N,G4110,A,2979337.00000000000,0.00000000000,"+42.7133803","-102.4665627",10871.62440130000,2979334.22819000017
G31047500,"31","47500","02399923","3147500",Stuart,Stuart village,"47",C1,N,N,G4110,A,3539251.00000000000,0.00000000000,"+42.6007875","-099.1404587",10664.42745230000,3539247.34539999999
G31048935,"31","48935","00838282","3148935",Tilden,Tilden city,"25",C5,N,N,G4110,A,2008591.00000000000,0.00000000000,"+42.0434937","-097.8318085",6163.68298304000,2008594.55655999994
G31049950,"31","49950","02397108","3149950",Valentine,Valentine city,"25",C5,N,N,G4110,A,6824042.00000000000,28884.00000000000,"+42.8755110","-100.5470667",24470.14968200000,6852928.37808000017
G31053555,"31","53555","02399730","3153555",Wood Lake,Wood Lake village,"47",C1,N,N,G4110,A,821477.00000000000,25625.00000000000,"+42.6383441","-100.2371221",4028.26433674000,847098.46938300005
