Name,State,Year,Population,Percent change
Admire,Kansas,1920,205,0.0
Admire,Kansas,1930,263,28.3
Admire,Kansas,1940,270,2.7
Admire,Kansas,1950,184,-31.9
Admire,Kansas,1960,149,-19.0
Admire,Kansas,1970,144,-3.4
Admire,Kansas,1980,158,9.7
Admire,Kansas,1990,147,-7.0
Admire,Kansas,2000,177,20.4
Admire,Kansas,2010,156,-11.9
Admire,Kansas,2020,130,-16.7
Agar,South Dakota,1930,200,0.0
Agar,South Dakota,1940,142,-29.0
Agar,South Dakota,1950,141,-0.7
Agar,South Dakota,1960,139,-1.4
Agar,South Dakota,1970,156,12.2
Agar,South Dakota,1980,139,-10.9
Agar,South Dakota,1990,82,-41.0
Agar,South Dakota,2000,82,0.0
Agar,South Dakota,2010,76,-7.3
Agar,South Dakota,2020,68,-10.5
Agenda,Kansas,1920,239,0.0
Agenda,Kansas,1930,185,-22.6
Agenda,Kansas,1940,179,-3.2
Agenda,Kansas,1950,159,-11.2
Agenda,Kansas,1960,124,-22.0
Agenda,Kansas,1970,107,-13.7
Agenda,Kansas,1980,106,-0.9
Agenda,Kansas,1990,81,-23.6
Agenda,Kansas,2000,81,0.0
Agenda,Kansas,2010,68,-16.0
Agenda,Kansas,2020,47,-30.9
Ainsworth,Nebraska,1890,733,0.0
Ainsworth,Nebraska,1900,605,-17.5
Ainsworth,Nebraska,1910,1045,72.7
Ainsworth,Nebraska,1920,1508,44.3
Ainsworth,Nebraska,1930,1378,-8.6
Ainsworth,Nebraska,1940,1833,33.0
Ainsworth,Nebraska,1950,2150,17.3
Ainsworth,Nebraska,1960,1982,-7.8
Ainsworth,Nebraska,1970,2073,4.6
Ainsworth,Nebraska,1980,2256,8.8
Ainsworth,Nebraska,1990,1870,-17.1
Ainsworth,Nebraska,2000,1862,-0.4
Ainsworth,Nebraska,2010,1728,-7.2
Ainsworth,Nebraska,2020,1616,-6.5
Akaska,South Dakota,1910,114,0.0
Akaska,South Dakota,1920,101,-11.4
Akaska,South Dakota,1930,169,67.3
Akaska,South Dakota,1940,151,-10.7
Akaska,South Dakota,1950,84,-44.4
Akaska,South Dakota,1960,90,7.1
Akaska,South Dakota,1970,46,-48.9
Akaska,South Dakota,1980,49,6.5
Akaska,South Dakota,1990,52,6.1
Akaska,South Dakota,2000,31,-40.4
Akaska,South Dakota,2010,42,35.5
Akaska,South Dakota,2020,77,83.3
Albany,Texas,1880,129,0.0
Albany,Texas,1890,857,564.3
Albany,Texas,1920,1469,0.0
Albany,Texas,1930,2422,64.9
Albany,Texas,1940,2230,-7.9
Albany,Texas,1950,2241,0.5
Albany,Texas,1960,2174,-3.0
Albany,Texas,1970,1978,-9.0
Albany,Texas,1980,2450,23.9
Albany,Texas,1990,1962,-19.9
Albany,Texas,2000,1921,-2.1
Albany,Texas,2010,2034,5.9
Albany,Texas,2020,1854,-8.8
Albion,Nebraska,1880,330,0.0
Albion,Nebraska,1890,926,180.6
Albion,Nebraska,1900,1369,47.8
Albion,Nebraska,1910,1584,15.7
Albion,Nebraska,1920,1978,24.9
Albion,Nebraska,1930,2172,9.8
Albion,Nebraska,1940,2268,4.4
Albion,Nebraska,1950,2132,-6.0
Albion,Nebraska,1960,1982,-7.0
Albion,Nebraska,1970,2074,4.6
Albion,Nebraska,1980,1997,-3.7
Albion,Nebraska,1990,1916,-4.1
Albion,Nebraska,2000,1797,-6.2
Albion,Nebraska,2010,1650,-8.2
Albion,Nebraska,2020,1699,3.0
Alice,North Dakota,1930,169,0.0
Alice,North Dakota,1940,181,7.1
Alice,North Dakota,1950,162,-10.5
Alice,North Dakota,1960,124,-23.5
Alice,North Dakota,1970,83,-33.1
Alice,North Dakota,1980,62,-25.3
Alice,North Dakota,1990,62,0.0
Alice,North Dakota,2000,56,-9.7
Alice,North Dakota,2010,40,-28.6
Alice,North Dakota,2020,41,2.5
Aline,Oklahoma,1910,303,0.0
Aline,Oklahoma,1920,358,18.2
Aline,Oklahoma,1930,429,19.8
Aline,Oklahoma,1940,405,-5.6
Aline,Oklahoma,1950,385,-4.9
Aline,Oklahoma,1960,314,-18.4
Aline,Oklahoma,1970,260,-17.2
Aline,Oklahoma,1980,313,20.4
Aline,Oklahoma,1990,295,-5.8
Aline,Oklahoma,2000,214,-27.5
Aline,Oklahoma,2010,207,-3.3
Aline,Oklahoma,2020,168,-18.8
Allen,Kansas,1910,286,0.0
Allen,Kansas,1920,295,3.1
Allen,Kansas,1930,343,16.3
Allen,Kansas,1940,279,-18.7
Allen,Kansas,1950,241,-13.6
Allen,Kansas,1960,205,-14.9
Allen,Kansas,1970,175,-14.6
Allen,Kansas,1980,205,17.1
Allen,Kansas,1990,191,-6.8
Allen,Kansas,2000,211,10.5
Allen,Kansas,2010,177,-16.1
Allen,Kansas,2020,160,-9.6
Alma,Kansas,1880,362,0.0
Alma,Kansas,1890,1125,210.8
Alma,Kansas,1900,966,-14.1
Alma,Kansas,1910,1010,4.6
Alma,Kansas,1920,789,-21.9
Alma,Kansas,1930,811,2.8
Alma,Kansas,1940,776,-4.3
Alma,Kansas,1950,716,-7.7
Alma,Kansas,1960,838,17.0
Alma,Kansas,1970,905,8.0
Alma,Kansas,1980,925,2.2
Alma,Kansas,1990,871,-5.8
Alma,Kansas,2000,797,-8.5
Alma,Kansas,2010,832,4.4
Alma,Kansas,2020,802,-3.6
Altamont,South Dakota,1910,110,0.0
Altamont,South Dakota,1920,116,5.5
Altamont,South Dakota,1930,123,6.0
Altamont,South Dakota,1940,144,17.1
Altamont,South Dakota,1950,76,-47.2
Altamont,South Dakota,1960,77,1.3
Altamont,South Dakota,1970,54,-29.9
Altamont,South Dakota,1980,58,7.4
Altamont,South Dakota,1990,48,-17.2
Altamont,South Dakota,2000,34,-29.2
Altamont,South Dakota,2010,34,0.0
Altamont,South Dakota,2020,32,-5.9
Alton,Kansas,1890,338,0.0
Alton,Kansas,1900,287,-15.1
Alton,Kansas,1910,414,44.3
Alton,Kansas,1920,423,2.2
Alton,Kansas,1930,383,-9.5
Alton,Kansas,1940,435,13.6
Alton,Kansas,1950,317,-27.1
Alton,Kansas,1960,299,-5.7
Alton,Kansas,1970,214,-28.4
Alton,Kansas,1980,135,-36.9
Alton,Kansas,1990,115,-14.8
Alton,Kansas,2000,117,1.7
Alton,Kansas,2010,103,-12.0
Alton,Kansas,2020,100,-2.9
Alva,Oklahoma,1900,1499,0.0
Alva,Oklahoma,1910,3688,146.0
Alva,Oklahoma,1920,3913,6.1
Alva,Oklahoma,1930,5121,30.9
Alva,Oklahoma,1940,5055,-1.3
Alva,Oklahoma,1950,6505,28.7
Alva,Oklahoma,1960,6258,-3.8
Alva,Oklahoma,1970,7440,18.9
Alva,Oklahoma,1980,6416,-13.8
Alva,Oklahoma,1990,5495,-14.4
Alva,Oklahoma,2000,5288,-3.8
Alva,Oklahoma,2010,4945,-6.5
Alva,Oklahoma,2020,5028,1.7
Amenia,North Dakota,1930,90,0.0
Amenia,North Dakota,1940,104,15.6
Amenia,North Dakota,1950,127,22.1
Amenia,North Dakota,1960,117,-7.9
Amenia,North Dakota,1970,80,-31.6
Amenia,North Dakota,1980,93,16.3
Amenia,North Dakota,1990,82,-11.8
Amenia,North Dakota,2000,89,8.5
Amenia,North Dakota,2010,94,5.6
Amenia,North Dakota,2020,85,-9.6
Americus,Kansas,1880,431,0.0
Americus,Kansas,1890,393,-8.8
Americus,Kansas,1900,332,-15.5
Americus,Kansas,1910,451,35.8
Americus,Kansas,1920,493,9.3
Americus,Kansas,1930,430,-12.8
Americus,Kansas,1940,406,-5.6
Americus,Kansas,1950,339,-16.5
Americus,Kansas,1960,300,-11.5
Americus,Kansas,1970,441,47.0
Americus,Kansas,1980,915,107.5
Americus,Kansas,1990,891,-2.6
Americus,Kansas,2000,938,5.3
Americus,Kansas,2010,894,-4.7
Americus,Kansas,2020,776,-13.2
Amherst,Nebraska,1900,183,0.0
Amherst,Nebraska,1910,256,39.9
Amherst,Nebraska,1920,259,1.2
Amherst,Nebraska,1930,262,1.2
Amherst,Nebraska,1940,238,-9.2
Amherst,Nebraska,1950,219,-8.0
Amherst,Nebraska,1960,220,0.5
Amherst,Nebraska,1970,259,17.7
Amherst,Nebraska,1980,269,3.9
Amherst,Nebraska,1990,231,-14.1
Amherst,Nebraska,2000,277,19.9
Amherst,Nebraska,2010,248,-10.5
Amherst,Nebraska,2020,201,-19.0
Amorita,Oklahoma,1920,196,0.0
Amorita,Oklahoma,1930,194,-1.0
Amorita,Oklahoma,1940,208,7.2
Amorita,Oklahoma,1950,125,-39.9
Amorita,Oklahoma,1960,74,-40.8
Amorita,Oklahoma,1970,63,-14.9
Amorita,Oklahoma,1980,66,4.8
Amorita,Oklahoma,1990,56,-15.2
Amorita,Oklahoma,2000,44,-21.4
Amorita,Oklahoma,2010,37,-15.9
Amorita,Oklahoma,2020,38,2.7
Anoka,Nebraska,1910,145,0.0
Anoka,Nebraska,1920,129,-11.0
Anoka,Nebraska,1930,107,-17.1
Anoka,Nebraska,1940,117,9.3
Anoka,Nebraska,1950,60,-48.7
Anoka,Nebraska,1960,32,-46.7
Anoka,Nebraska,1970,25,-21.9
Anoka,Nebraska,1980,24,-4.0
Anoka,Nebraska,1990,10,-58.3
Anoka,Nebraska,2000,10,0.0
Anoka,Nebraska,2010,6,-40.0
Anoka,Nebraska,2020,10,66.7
Anson,Texas,1890,495,0.0
Anson,Texas,1910,1842,0.0
Anson,Texas,1920,1425,-22.6
Anson,Texas,1930,2093,46.9
Anson,Texas,1940,2338,11.7
Anson,Texas,1950,2708,15.8
Anson,Texas,1960,2890,6.7
Anson,Texas,1970,2615,-9.5
Anson,Texas,1980,2831,8.3
Anson,Texas,1990,2644,-6.6
Anson,Texas,2000,2556,-3.3
Anson,Texas,2010,2430,-4.9
Anson,Texas,2020,2294,-5.6
Anthony,Kansas,1880,345,0.0
Anthony,Kansas,1890,1806,423.5
Anthony,Kansas,1900,1179,-34.7
Anthony,Kansas,1910,2669,126.4
Anthony,Kansas,1920,2740,2.7
Anthony,Kansas,1930,2947,7.6
Anthony,Kansas,1940,2873,-2.5
Anthony,Kansas,1950,2792,-2.8
Anthony,Kansas,1960,2744,-1.7
Anthony,Kansas,1970,2653,-3.3
Anthony,Kansas,1980,2661,0.3
Anthony,Kansas,1990,2516,-5.4
Anthony,Kansas,2000,2440,-3.0
Anthony,Kansas,2010,2269,-7.0
Anthony,Kansas,2020,2108,-7.1
Arcadia,Nebraska,1890,429,0.0
Arcadia,Nebraska,1900,374,-12.8
Arcadia,Nebraska,1910,618,65.2
Arcadia,Nebraska,1920,745,20.6
Arcadia,Nebraska,1930,711,-4.6
Arcadia,Nebraska,1940,663,-6.8
Arcadia,Nebraska,1950,574,-13.4
Arcadia,Nebraska,1960,446,-22.3
Arcadia,Nebraska,1970,418,-6.3
Arcadia,Nebraska,1980,412,-1.4
Arcadia,Nebraska,1990,385,-6.6
Arcadia,Nebraska,2000,359,-6.8
Arcadia,Nebraska,2010,311,-13.4
Arcadia,Nebraska,2020,283,-9.0
Argonia,Kansas,1890,376,0.0
Argonia,Kansas,1900,309,-17.8
Argonia,Kansas,1910,466,50.8
Argonia,Kansas,1920,478,2.6
Argonia,Kansas,1930,546,14.2
Argonia,Kansas,1940,532,-2.6
Argonia,Kansas,1950,562,5.6
