Year,Kansas,Montana,Nebraska,North Dakota,Oklahoma,South Dakota,Texas
1860,0.0,,0.0,,,,
1870,0.0,,0.0,,,,
1880,0.0,,0.0,0.0,,0.0,0.0
1890,28.0,0.0,0.0,0.0,,0.0,0.0
1900,2.0,,0.0,21.8,0.0,6.5,
1910,3.2,0.0,27.2,0.0,0.0,6.8,0.0
1920,0.0,0.0,14.1,3.6,0.0,11.7,0.0
1930,-2.0,-16.5,0.0,10.1,10.9,-3.2,31.6
1940,-4.2,3.8,-3.2,8.4,-9.5,-1.6,-1.5
1950,-8.2,3.0,-7.2,1.3,-8.2,-4.2,16.3
1960,-7.8,-0.2,-6.6,-7.6,-12.0,-6.7,0.1
1970,-5.7,-15.8,-0.7,-15.7,3.1,-9.6,-8.9
1980,2.3,4.6,3.0,-4.5,7.2,-2.0,1.7
1990,-11.9,-9.6,-9.4,-12.9,-15.1,-8.6,-14.1
2000,1.1,2.2,0.6,-12.5,-8.8,-0.8,-6.8
2010,-7.9,-8.0,-7.9,-15.1,-2.9,-8.2,-7.1
2020,-9.2,-3.4,-4.0,-6.0,-12.8,-4.0,-11.9
