Name,State,Year,Population,Percent change
Admire,Kansas,1920,205,0.0
Admire,Kansas,1930,263,28.3
Admire,Kansas,1940,270,2.7
Admire,Kansas,1950,184,-31.9
Admire,Kansas,1960,149,-19.0
Admire,Kansas,1970,144,-3.4
Admire,Kansas,1980,158,9.7
Admire,Kansas,1990,147,-7.0
Admire,Kansas,2000,177,20.4
Admire,Kansas,2010,156,-11.9
Admire,Kansas,2020,130,-16.7
Agenda,Kansas,1920,239,0.0
Agenda,Kansas,1930,185,-22.6
Agenda,Kansas,1940,179,-3.2
Agenda,Kansas,1950,159,-11.2
Agenda,Kansas,1960,124,-22.0
Agenda,Kansas,1970,107,-13.7
Agenda,Kansas,1980,106,-0.9
Agenda,Kansas,1990,81,-23.6
Agenda,Kansas,2000,81,0.0
Agenda,Kansas,2010,68,-16.0
Agenda,Kansas,2020,47,-30.9
Allen,Kansas,1910,286,0.0
Allen,Kansas,1920,295,3.1
Allen,Kansas,1930,343,16.3
Allen,Kansas,1940,279,-18.7
Allen,Kansas,1950,241,-13.6
Allen,Kansas,1960,205,-14.9
Allen,Kansas,1970,175,-14.6
Allen,Kansas,1980,205,17.1
Allen,Kansas,1990,191,-6.8
Allen,Kansas,2000,211,10.5
Allen,Kansas,2010,177,-16.1
Allen,Kansas,2020,160,-9.6
Alma,Kansas,1880,362,0.0
Alma,Kansas,1890,1125,210.8
Alma,Kansas,1900,966,-14.1
Alma,Kansas,1910,1010,4.6
Alma,Kansas,1920,789,-21.9
Alma,Kansas,1930,811,2.8
Alma,Kansas,1940,776,-4.3
Alma,Kansas,1950,716,-7.7
Alma,Kansas,1960,838,17.0
Alma,Kansas,1970,905,8.0
Alma,Kansas,1980,925,2.2
Alma,Kansas,1990,871,-5.8
Alma,Kansas,2000,797,-8.5
Alma,Kansas,2010,832,4.4
Alma,Kansas,2020,802,-3.6
Alton,Kansas,1890,338,0.0
Alton,Kansas,1900,287,-15.1
Alton,Kansas,1910,414,44.3
Alton,Kansas,1920,423,2.2
Alton,Kansas,1930,383,-9.5
Alton,Kansas,1940,435,13.6
Alton,Kansas,1950,317,-27.1
Alton,Kansas,1960,299,-5.7
Alton,Kansas,1970,214,-28.4
Alton,Kansas,1980,135,-36.9
Alton,Kansas,1990,115,-14.8
Alton,Kansas,2000,117,1.7
Alton,Kansas,2010,103,-12.0
Alton,Kansas,2020,100,-2.9
Americus,Kansas,1880,431,0.0
Americus,Kansas,1890,393,-8.8
Americus,Kansas,1900,332,-15.5
Americus,Kansas,1910,451,35.8
Americus,Kansas,1920,493,9.3
Americus,Kansas,1930,430,-12.8
Americus,Kansas,1940,406,-5.6
Americus,Kansas,1950,339,-16.5
Americus,Kansas,1960,300,-11.5
Americus,Kansas,1970,441,47.0
Americus,Kansas,1980,915,107.5
Americus,Kansas,1990,891,-2.6
Americus,Kansas,2000,938,5.3
Americus,Kansas,2010,894,-4.7
Americus,Kansas,2020,776,-13.2
Anthony,Kansas,1880,345,0.0
Anthony,Kansas,1890,1806,423.5
Anthony,Kansas,1900,1179,-34.7
Anthony,Kansas,1910,2669,126.4
Anthony,Kansas,1920,2740,2.7
Anthony,Kansas,1930,2947,7.6
Anthony,Kansas,1940,2873,-2.5
Anthony,Kansas,1950,2792,-2.8
Anthony,Kansas,1960,2744,-1.7
Anthony,Kansas,1970,2653,-3.3
Anthony,Kansas,1980,2661,0.3
Anthony,Kansas,1990,2516,-5.4
Anthony,Kansas,2000,2440,-3.0
Anthony,Kansas,2010,2269,-7.0
Anthony,Kansas,2020,2108,-7.1
Argonia,Kansas,1890,376,0.0
Argonia,Kansas,1900,309,-17.8
Argonia,Kansas,1910,466,50.8
Argonia,Kansas,1920,478,2.6
Argonia,Kansas,1930,546,14.2
Argonia,Kansas,1940,532,-2.6
Argonia,Kansas,1950,562,5.6
Argonia,Kansas,1960,553,-1.6
Argonia,Kansas,1970,591,6.9
Argonia,Kansas,1980,587,-0.7
Argonia,Kansas,1990,529,-9.9
Argonia,Kansas,2000,534,0.9
Argonia,Kansas,2010,501,-6.2
Argonia,Kansas,2020,456,-9.0
Ashland,Kansas,1890,459,0.0
Ashland,Kansas,1900,493,7.4
Ashland,Kansas,1910,910,84.6
Ashland,Kansas,1920,1147,26.0
Ashland,Kansas,1930,1232,7.4
Ashland,Kansas,1940,1186,-3.7
Ashland,Kansas,1950,1493,25.9
Ashland,Kansas,1960,1312,-12.1
Ashland,Kansas,1970,1244,-5.2
Ashland,Kansas,1980,1096,-11.9
Ashland,Kansas,1990,1032,-5.8
Ashland,Kansas,2000,975,-5.5
Ashland,Kansas,2010,867,-11.1
Ashland,Kansas,2020,783,-9.7
Assaria,Kansas,1880,56,0.0
Assaria,Kansas,1890,180,221.4
Assaria,Kansas,1900,214,18.9
Assaria,Kansas,1910,246,15.0
Assaria,Kansas,1920,234,-4.9
Assaria,Kansas,1930,201,-14.1
Assaria,Kansas,1940,232,15.4
Assaria,Kansas,1950,221,-4.7
Assaria,Kansas,1960,322,45.7
Assaria,Kansas,1970,303,-5.9
Assaria,Kansas,1980,414,36.6
Assaria,Kansas,1990,387,-6.5
Assaria,Kansas,2000,438,13.2
Assaria,Kansas,2010,413,-5.7
Assaria,Kansas,2020,428,3.6
Atlanta,Kansas,1910,330,0.0
Atlanta,Kansas,1920,379,14.8
Atlanta,Kansas,1930,348,-8.2
Atlanta,Kansas,1940,286,-17.8
Atlanta,Kansas,1950,309,8.0
Atlanta,Kansas,1960,267,-13.6
Atlanta,Kansas,1970,216,-19.1
Atlanta,Kansas,1980,256,18.5
Atlanta,Kansas,1990,232,-9.4
Atlanta,Kansas,2000,255,9.9
Atlanta,Kansas,2010,195,-23.5
Atlanta,Kansas,2020,168,-13.8
Barnard,Kansas,1910,425,0.0
Barnard,Kansas,1920,359,-15.5
Barnard,Kansas,1930,416,15.9
Barnard,Kansas,1940,306,-26.4
Barnard,Kansas,1950,242,-20.9
Barnard,Kansas,1960,205,-15.3
Barnard,Kansas,1970,190,-7.3
Barnard,Kansas,1980,163,-14.2
Barnard,Kansas,1990,129,-20.9
Barnard,Kansas,2000,123,-4.7
Barnard,Kansas,2010,70,-43.1
Barnard,Kansas,2020,64,-8.6
Barnes,Kansas,1880,32,0.0
Barnes,Kansas,1900,383,0.0
Barnes,Kansas,1910,454,18.5
Barnes,Kansas,1920,395,-13.0
Barnes,Kansas,1930,361,-8.6
Barnes,Kansas,1940,391,8.3
Barnes,Kansas,1950,308,-21.2
Barnes,Kansas,1960,247,-19.8
Barnes,Kansas,1970,209,-15.4
Barnes,Kansas,1980,257,23.0
Barnes,Kansas,1990,167,-35.0
Barnes,Kansas,2000,152,-9.0
Barnes,Kansas,2010,159,4.6
Barnes,Kansas,2020,165,3.8
Bartlett,Kansas,1910,249,0.0
Bartlett,Kansas,1920,222,-10.8
Bartlett,Kansas,1930,167,-24.8
Bartlett,Kansas,1940,161,-3.6
Bartlett,Kansas,1950,143,-11.2
Bartlett,Kansas,1960,137,-4.2
Bartlett,Kansas,1970,138,0.7
Bartlett,Kansas,1980,163,18.1
Bartlett,Kansas,1990,107,-34.4
Bartlett,Kansas,2000,124,15.9
Bartlett,Kansas,2010,80,-35.5
Bartlett,Kansas,2020,69,-13.7
Bassett,Kansas,1910,415,0.0
Bassett,Kansas,1920,319,-23.1
Bassett,Kansas,1930,194,-39.2
Bassett,Kansas,1940,124,-36.1
Bassett,Kansas,1950,117,-5.6
Bassett,Kansas,1960,67,-42.7
Bassett,Kansas,1970,62,-7.5
Bassett,Kansas,1980,31,-50.0
Bassett,Kansas,1990,20,-35.5
Bassett,Kansas,2000,22,10.0
Bassett,Kansas,2010,14,-36.4
Bassett,Kansas,2020,20,42.9
Belle Plaine,Kansas,1880,348,0.0
Belle Plaine,Kansas,1890,659,89.4
Belle Plaine,Kansas,1900,551,-16.4
Belle Plaine,Kansas,1910,849,54.1
Belle Plaine,Kansas,1920,839,-1.2
Belle Plaine,Kansas,1930,825,-1.7
Belle Plaine,Kansas,1940,878,6.4
Belle Plaine,Kansas,1950,971,10.6
Belle Plaine,Kansas,1960,1579,62.6
Belle Plaine,Kansas,1970,1553,-1.6
Belle Plaine,Kansas,1980,1706,9.9
Belle Plaine,Kansas,1990,1649,-3.3
Belle Plaine,Kansas,2000,1708,3.6
Belle Plaine,Kansas,2010,1681,-1.6
Belle Plaine,Kansas,2020,1467,-12.7
Belleville,Kansas,1880,238,0.0
Belleville,Kansas,1890,1868,684.9
Belleville,Kansas,1900,1833,-1.9
Belleville,Kansas,1910,2224,21.3
Belleville,Kansas,1920,2254,1.3
Belleville,Kansas,1930,2383,5.7
Belleville,Kansas,1940,2580,8.3
Belleville,Kansas,1950,2858,10.8
Belleville,Kansas,1960,2940,2.9
Belleville,Kansas,1970,3063,4.2
Belleville,Kansas,1980,2805,-8.4
Belleville,Kansas,1990,2517,-10.3
Belleville,Kansas,2000,2239,-11.0
Belleville,Kansas,2010,1991,-11.1
Belleville,Kansas,2020,2007,0.8
Benedict,Kansas,1910,215,0.0
Benedict,Kansas,1920,275,27.9
Benedict,Kansas,1930,223,-18.9
Benedict,Kansas,1940,213,-4.5
Benedict,Kansas,1950,176,-17.4
Benedict,Kansas,1960,128,-27.3
Benedict,Kansas,1970,91,-28.9
Benedict,Kansas,1980,111,22.0
Benedict,Kansas,1990,16,-85.6
Benedict,Kansas,2000,103,543.8
Benedict,Kansas,2010,73,-29.1
Benedict,Kansas,2020,69,-5.5
Bern,Kansas,1930,306,0.0
Bern,Kansas,1940,236,-22.9
Bern,Kansas,1950,216,-8.5
Bern,Kansas,1960,206,-4.6
Bern,Kansas,1970,191,-7.3
Bern,Kansas,1980,220,15.2
Bern,Kansas,1990,190,-13.6
Bern,Kansas,2000,204,7.4
Bern,Kansas,2010,166,-18.6
Bern,Kansas,2020,161,-3.0
Beverly,Kansas,1910,335,0.0
Beverly,Kansas,1920,344,2.7
Beverly,Kansas,1930,328,-4.7
Beverly,Kansas,1940,292,-11.0
Beverly,Kansas,1950,255,-12.7
Beverly,Kansas,1960,199,-22.0
Beverly,Kansas,1970,193,-3.0
Beverly,Kansas,1980,171,-11.4
Beverly,Kansas,1990,131,-23.4
Beverly,Kansas,2000,199,51.9
Beverly,Kansas,2010,162,-18.6
Beverly,Kansas,2020,135,-16.7
Bird City,Kansas,1890,145,0.0
Bird City,Kansas,1900,88,-39.3
Bird City,Kansas,1910,190,115.9
Bird City,Kansas,1920,489,157.4
Bird City,Kansas,1930,740,51.3
Bird City,Kansas,1940,694,-6.2
Bird City,Kansas,1950,784,13.0
Bird City,Kansas,1960,678,-13.5
Bird City,Kansas,1970,671,-1.0
Bird City,Kansas,1980,546,-18.6
Bird City,Kansas,1990,467,-14.5
Bird City,Kansas,2000,482,3.2
Bird City,Kansas,2010,447,-7.3
Bird City,Kansas,2020,437,-2.2
Blue Mound,Kansas,1890,689,0.0
Blue Mound,Kansas,1900,738,7.1
Blue Mound,Kansas,1910,596,-19.2
Blue Mound,Kansas,1920,570,-4.4
Blue Mound,Kansas,1930,545,-4.4
Blue Mound,Kansas,1940,449,-17.6
Blue Mound,Kansas,1950,424,-5.6
Blue Mound,Kansas,1960,319,-24.8
Blue Mound,Kansas,1970,308,-3.4
Blue Mound,Kansas,1980,319,3.6
Blue Mound,Kansas,1990,251,-21.3
