GISJOIN,STATEFP,PLACEFP,PLACENS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,PCICBSA,PCINECTA,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Leng,Shape_Area
G31001465,"31","01465","02397965","3101465",Anoka,Anoka village,"47",C1,N,N,G4110,A,1451109.00000000000,0.00000000000,"+42.9460000","-098.8285288",4834.38373651000,1451107.69216999994
G31006400,"31","06400","02397457","3106400",Bristow,Bristow village,"47",C1,N,N,G4110,A,421037.00000000000,0.00000000000,"+42.8407769","-098.5833069",4687.74590669000,421039.72428899998
G31011230,"31","11230","00837947","3111230",Creighton,Creighton city,"25",C5,N,N,G4110,A,3133827.00000000000,0.00000000000,"+42.4648569","-097.9071460",9747.03858877000,3133829.44082000013
G31017320,"31","17320","02398907","3117320",Foster,Foster village,"47",C1,N,N,G4110,A,577458.00000000000,0.00000000000,"+42.2746986","-097.6650930",3270.50642139000,577456.46693700005
G31020470,"31","20470","02398220","3120470",Hadar,Hadar village,"47",C1,N,N,G4110,A,1026158.00000000000,0.00000000000,"+42.1072207","-097.4509717",4366.93150430000,1026157.60806999996
G31029750,"31","29750","02399206","3129750",Lynch,Lynch village,"47",C1,N,N,G4110,A,1382671.00000000000,0.00000000000,"+42.8312158","-098.4668537",8290.81907272000,1382668.88272000011
G31032550,"31","32550","02399382","3132550",Monowi,Monowi village,"47",C1,N,N,G4110,A,548570.00000000000,0.00000000000,"+42.8307050","-098.3295598",2993.08377906000,548568.16758000001
G31034370,"31","34370","02399499","3134370",Niobrara,Niobrara village,"47",C1,N,N,G4110,A,1886448.00000000000,0.00000000000,"+42.7499500","-098.0315052",6287.42657121000,1886447.21378000011
G31039100,"31","39100","02396199","3139100",Pierce,Pierce city,"25",C5,N,N,G4110,A,2370603.00000000000,55221.00000000000,"+42.1992743","-097.5279520",10771.72432630000,2425823.72429999989
G31039170,"31","39170","02396221","3139170",Plainview,Plainview city,"25",C5,N,N,G4110,A,2803017.00000000000,0.00000000000,"+42.3533457","-097.7871449",10473.23376110000,2803016.66449999996
G31046275,"31","46275","02399871","3146275",Spencer,Spencer village,"47",C1,N,N,G4110,A,1548000.00000000000,1558.00000000000,"+42.8755845","-098.6998784",7604.44075124000,1549561.11143000005
G31050335,"31","50335","02400054","3150335",Verdel,Verdel village,"47",C1,N,N,G4110,A,447095.00000000000,0.00000000000,"+42.8113989","-098.1932956",2888.24643359000,447095.59873899998
G31050370,"31","50370","02400055","3150370",Verdigre,Verdigre village,"47",C1,N,N,G4110,A,1418147.00000000000,40097.00000000000,"+42.5972459","-098.0355994",6039.11934406000,1458241.88327999995
G31053345,"31","53345","02399719","3153345",Winnetoon,Winnetoon village,"47",C1,N,N,G4110,A,751747.00000000000,0.00000000000,"+42.5135279","-097.9601341",3652.76756632000,751744.56489899999
G46006220,"46","06220","01267288","4606220",Bonesteel,Bonesteel city,"25",C5,N,N,G4110,A,915795.00000000000,0.00000000000,"+43.0775028","-098.9467619",4567.84457565000,915793.49157199997
G46008700,"46","08700","01267304","4608700",Burke,Burke city,"25",C5,N,N,G4110,A,1448203.00000000000,0.00000000000,"+43.1828207","-099.2923039",7139.07102691000,1448206.00197999994
G46013300,"46","13300","01267333","4613300",Colome,Colome city,"25",C5,N,N,G4110,A,739262.00000000000,0.00000000000,"+43.2598866","-099.7173234",4908.20867406000,739266.94793699996
G46015300,"46","15300","01267346","4615300",Dallas,Dallas town,"43",C5,N,N,G4110,A,1311957.00000000000,0.00000000000,"+43.2378339","-099.5175113",5677.02784985000,1311957.82440999988
G46020380,"46","20380","01267386","4620380",Fairfax,Fairfax town,"43",C5,N,N,G4110,A,783784.00000000000,0.00000000000,"+43.0280495","-098.8889450",3761.70824565000,783784.49091900000
G46026180,"46","26180","01267408","4626180",Gregory,Gregory city,"25",C5,N,N,G4110,A,4457532.00000000000,0.00000000000,"+43.2299888","-099.4208631",13603.94795650000,4457534.38152999990
G46028420,"46","28420","01267420","4628420",Herrick,Herrick town,"43",C5,N,N,G4110,A,1333953.00000000000,0.00000000000,"+43.1150170","-099.1882139",5213.47278940000,1333953.78566999990
G46057060,"46","57060","02393220","4657060",St. Charles,St. Charles CDP,"57",U1,N,N,G4210,S,510183.00000000000,0.00000000000,"+43.0881262","-099.0948826",3023.42327061000,510182.83982699999
G46072180,"46","72180","01267659","4672180",Winner,Winner city,"25",C5,N,N,G4110,A,5950193.00000000000,0.00000000000,"+43.3776163","-099.8551334",27113.18138360000,5950197.13193000108
