Name,State,Year,Population,Percent change
Alice,North Dakota,1930,169,0.0
Alice,North Dakota,1940,181,7.1
Alice,North Dakota,1950,162,-10.5
Alice,North Dakota,1960,124,-23.5
Alice,North Dakota,1970,83,-33.1
Alice,North Dakota,1980,62,-25.3
Alice,North Dakota,1990,62,0.0
Alice,North Dakota,2000,56,-9.7
Alice,North Dakota,2010,40,-28.6
Alice,North Dakota,2020,41,2.5
Amenia,North Dakota,1930,90,0.0
Amenia,North Dakota,1940,104,15.6
Amenia,North Dakota,1950,127,22.1
Amenia,North Dakota,1960,117,-7.9
Amenia,North Dakota,1970,80,-31.6
Amenia,North Dakota,1980,93,16.3
Amenia,North Dakota,1990,82,-11.8
Amenia,North Dakota,2000,89,8.5
Amenia,North Dakota,2010,94,5.6
Amenia,North Dakota,2020,85,-9.6
Arthur,North Dakota,1930,322,0.0
Arthur,North Dakota,1940,335,4.0
Arthur,North Dakota,1950,380,13.4
Arthur,North Dakota,1960,325,-14.5
Arthur,North Dakota,1970,412,26.8
Arthur,North Dakota,1980,445,8.0
Arthur,North Dakota,1990,400,-10.1
Arthur,North Dakota,2000,402,0.5
Arthur,North Dakota,2010,337,-16.2
Arthur,North Dakota,2020,328,-2.7
Ashley,North Dakota,1910,682,0.0
Ashley,North Dakota,1920,1009,47.9
Ashley,North Dakota,1930,1033,2.4
Ashley,North Dakota,1940,1345,30.2
Ashley,North Dakota,1950,1423,5.8
Ashley,North Dakota,1960,1419,-0.3
Ashley,North Dakota,1970,1236,-12.9
Ashley,North Dakota,1980,1192,-3.6
Ashley,North Dakota,1990,1052,-11.7
Ashley,North Dakota,2000,882,-16.2
Ashley,North Dakota,2010,749,-15.1
Ashley,North Dakota,2020,613,-18.2
Carson,North Dakota,1920,277,0.0
Carson,North Dakota,1930,356,28.5
Carson,North Dakota,1940,473,32.9
Carson,North Dakota,1950,493,4.2
Carson,North Dakota,1960,501,1.6
Carson,North Dakota,1970,466,-7.0
Carson,North Dakota,1980,469,0.6
Carson,North Dakota,1990,383,-18.3
Carson,North Dakota,2000,319,-16.7
Carson,North Dakota,2010,293,-8.2
Carson,North Dakota,2020,254,-13.3
Casselton,North Dakota,1880,360,0.0
Casselton,North Dakota,1890,840,133.3
Casselton,North Dakota,1900,1207,43.7
Casselton,North Dakota,1910,1553,28.7
Casselton,North Dakota,1920,1538,-1.0
Casselton,North Dakota,1930,1253,-18.5
Casselton,North Dakota,1940,1358,8.4
Casselton,North Dakota,1950,1373,1.1
Casselton,North Dakota,1960,1394,1.5
Casselton,North Dakota,1970,1485,6.5
Casselton,North Dakota,1980,1661,11.9
Casselton,North Dakota,1990,1601,-3.6
Casselton,North Dakota,2000,1855,15.9
