Name,State,Year,Population,Percent change
Aline,Oklahoma,1910,303,0.0
Aline,Oklahoma,1920,358,18.2
Aline,Oklahoma,1930,429,19.8
Aline,Oklahoma,1940,405,-5.6
Aline,Oklahoma,1950,385,-4.9
Aline,Oklahoma,1960,314,-18.4
Aline,Oklahoma,1970,260,-17.2
Aline,Oklahoma,1980,313,20.4
Aline,Oklahoma,1990,295,-5.8
Aline,Oklahoma,2000,214,-27.5
Aline,Oklahoma,2010,207,-3.3
Aline,Oklahoma,2020,168,-18.8
Alva,Oklahoma,1900,1499,0.0
Alva,Oklahoma,1910,3688,146.0
Alva,Oklahoma,1920,3913,6.1
Alva,Oklahoma,1930,5121,30.9
Alva,Oklahoma,1940,5055,-1.3
Alva,Oklahoma,1950,6505,28.7
Alva,Oklahoma,1960,6258,-3.8
Alva,Oklahoma,1970,7440,18.9
Alva,Oklahoma,1980,6416,-13.8
Alva,Oklahoma,1990,5495,-14.4
Alva,Oklahoma,2000,5288,-3.8
Alva,Oklahoma,2010,4945,-6.5
Alva,Oklahoma,2020,5028,1.7
Amorita,Oklahoma,1920,196,0.0
Amorita,Oklahoma,1930,194,-1.0
Amorita,Oklahoma,1940,208,7.2
Amorita,Oklahoma,1950,125,-39.9
Amorita,Oklahoma,1960,74,-40.8
Amorita,Oklahoma,1970,63,-14.9
Amorita,Oklahoma,1980,66,4.8
Amorita,Oklahoma,1990,56,-15.2
Amorita,Oklahoma,2000,44,-21.4
Amorita,Oklahoma,2010,37,-15.9
Amorita,Oklahoma,2020,38,2.7
Beaver,Oklahoma,1900,112,0.0
Beaver,Oklahoma,1910,326,191.1
Beaver,Oklahoma,1920,920,182.2
Beaver,Oklahoma,1930,1028,11.7
Beaver,Oklahoma,1940,1166,13.4
Beaver,Oklahoma,1950,1495,28.2
Beaver,Oklahoma,1960,2087,39.6
Beaver,Oklahoma,1970,1853,-11.2
Beaver,Oklahoma,1980,1939,4.6
Beaver,Oklahoma,1990,1584,-18.3
Beaver,Oklahoma,2000,1570,-0.9
Beaver,Oklahoma,2010,1515,-3.5
Beaver,Oklahoma,2020,1280,-15.5
Billings,Oklahoma,1900,406,0.0
Billings,Oklahoma,1910,524,29.1
Billings,Oklahoma,1920,846,61.5
Billings,Oklahoma,1930,658,-22.2
Billings,Oklahoma,1940,661,0.5
Billings,Oklahoma,1950,620,-6.2
Billings,Oklahoma,1960,510,-17.7
Billings,Oklahoma,1970,618,21.2
Billings,Oklahoma,1980,632,2.3
Billings,Oklahoma,1990,555,-12.2
Billings,Oklahoma,2000,436,-21.4
Billings,Oklahoma,2010,509,16.7
Billings,Oklahoma,2020,578,13.6
Binger,Oklahoma,1910,280,0.0
Binger,Oklahoma,1920,482,72.1
Binger,Oklahoma,1930,849,76.1
Binger,Oklahoma,1940,840,-1.1
Binger,Oklahoma,1950,773,-8.0
Binger,Oklahoma,1960,603,-22.0
Binger,Oklahoma,1970,730,21.1
Binger,Oklahoma,1980,791,8.4
Binger,Oklahoma,1990,724,-8.5
Binger,Oklahoma,2000,708,-2.2
Binger,Oklahoma,2010,672,-5.1
Binger,Oklahoma,2020,438,-34.8
Blackwell,Oklahoma,1900,2283,0.0
Blackwell,Oklahoma,1910,3266,43.1
Blackwell,Oklahoma,1920,7174,119.7
Blackwell,Oklahoma,1930,9521,32.7
Blackwell,Oklahoma,1940,8537,-10.3
Blackwell,Oklahoma,1950,9199,7.8
Blackwell,Oklahoma,1960,9588,4.2
Blackwell,Oklahoma,1970,8645,-9.8
Blackwell,Oklahoma,1980,8400,-2.8
Blackwell,Oklahoma,1990,7538,-10.3
Blackwell,Oklahoma,2000,7668,1.7
Blackwell,Oklahoma,2010,7092,-7.5
Blackwell,Oklahoma,2020,6085,-14.2
Bridgeport,Oklahoma,1910,428,0.0
Bridgeport,Oklahoma,1920,294,-31.3
Bridgeport,Oklahoma,1930,432,46.9
Bridgeport,Oklahoma,1940,302,-30.1
Bridgeport,Oklahoma,1950,199,-34.1
Bridgeport,Oklahoma,1960,139,-30.2
Bridgeport,Oklahoma,1970,142,2.2
Bridgeport,Oklahoma,1980,115,-19.0
Bridgeport,Oklahoma,1990,137,19.1
Bridgeport,Oklahoma,2000,109,-20.4
Bridgeport,Oklahoma,2010,116,6.4
Bridgeport,Oklahoma,2020,97,-16.4
Buffalo,Oklahoma,1910,282,0.0
Buffalo,Oklahoma,1920,479,69.9
Buffalo,Oklahoma,1930,990,106.7
Buffalo,Oklahoma,1940,1209,22.1
