GISJOIN,STATEFP,PLACEFP,PLACENS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,PCICBSA,PCINECTA,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Leng,Shape_Area
G20000225,"20","00225","02583496","2000225",Ada,Ada CDP,"57",U1,N,N,G4210,S,6580260.00000000000,0.00000000000,"+39.1621996","-097.8859477",11486.50144540000,6580261.78502000030
G20000325,"20","00325","02393883","2000325",Admire,Admire city,"25",C1,N,N,G4110,A,836798.00000000000,0.00000000000,"+38.6409949","-096.1020087",3669.72283199000,836797.21807900001
G20000475,"20","00475","02393890","2000475",Agenda,Agenda city,"25",C1,N,N,G4110,A,448549.00000000000,0.00000000000,"+39.7065672","-097.4322389",3738.58110489000,448549.81806399999
G20001275,"20","01275","02393921","2001275",Allen,Allen city,"25",C1,N,N,G4110,A,715808.00000000000,0.00000000000,"+38.6551225","-096.1696355",3563.01179438000,715808.79735300003
G20001350,"20","01350","02393926","2001350",Alma,Alma city,"25",C1,N,N,G4110,A,1514197.00000000000,37583.00000000000,"+39.0156813","-096.2870964",9656.74503771000,1551785.55703000003
G20001600,"20","01600","02393938","2001600",Alton,Alton city,"25",C1,N,N,G4110,A,801416.00000000000,0.00000000000,"+39.4678040","-098.9486390",4038.38787160000,801417.60055099998
G20001675,"20","01675","02393946","2001675",Americus,Americus city,"25",C1,N,N,G4110,A,2804809.00000000000,31050.00000000000,"+38.5063849","-096.2612819",8248.83888215000,2835854.64699999988
G20001975,"20","01975","00485540","2001975",Anthony,Anthony city,"25",C5,N,N,G4110,A,8345180.00000000000,458153.00000000000,"+37.1585331","-098.0427758",42349.32176530001,8803322.21240000054
G20002250,"20","02250","02393981","2002250",Argonia,Argonia city,"25",C1,N,N,G4110,A,1807690.00000000000,0.00000000000,"+37.2678762","-097.7629391",9051.65490685000,1807684.29108000011
G20002675,"20","02675","02393999","2002675",Ashland,Ashland city,"25",C1,N,N,G4110,A,4379602.00000000000,0.00000000000,"+37.1866610","-099.7696711",12711.36541970000,4379598.60737000033
G20002850,"20","02850","02394006","2002850",Assaria,Assaria city,"25",C1,N,N,G4110,A,604944.00000000000,0.00000000000,"+38.6802029","-097.6041423",3759.63050906000,604943.02105800004
G20003050,"20","03050","02394016","2003050",Atlanta,Atlanta city,"25",C1,N,N,G4110,A,1239365.00000000000,0.00000000000,"+37.4357375","-096.7669778",4564.87205375000,1239364.51716000005
G20003800,"20","03800","02804655","2003800",Bala,Bala CDP,"57",U1,N,N,G4210,S,1111475.00000000000,0.00000000000,"+39.3108293","-096.9503922",4703.06667143000,1111473.07257000008
G20004225,"20","04225","02394062","2004225",Barnard,Barnard city,"25",C1,N,N,G4110,A,577264.00000000000,0.00000000000,"+39.1891709","-098.0442515",3615.07844150000,577262.99194400001
G20004250,"20","04250","02394063","2004250",Barnes,Barnes city,"25",C1,N,N,G4110,A,440544.00000000000,16687.00000000000,"+39.7115508","-096.8734042",4405.32922879000,457231.59435000003
G20004350,"20","04350","02394072","2004350",Bartlett,Bartlett city,"25",C1,N,N,G4110,A,343312.00000000000,187.00000000000,"+37.0548602","-095.2115688",2522.80385486000,343497.84411200002
G20004450,"20","04450","02394075","2004450",Bassett,Bassett city,"25",C1,N,N,G4110,A,173169.00000000000,78380.00000000000,"+37.9072060","-095.4056506",3367.16222757000,251549.97068000000
G20004925,"20","04925","02806453","2004925",Beaumont,Beaumont CDP,"57",U1,N,N,G4210,S,1435201.00000000000,17747.00000000000,"+37.6559754","-096.5318138",5469.20714481000,1452946.18204999994
G20005500,"20","05500","02394114","2005500",Belle Plaine,Belle Plaine city,"25",C1,N,N,G4110,A,2150497.00000000000,0.00000000000,"+37.3934285","-097.2795482",9160.55049821000,2150499.65042999992
G20005600,"20","05600","00485546","2005600",Belleville,Belleville city,"25",C5,N,N,G4110,A,5324509.00000000000,97235.00000000000,"+39.8243366","-097.6338554",23117.51404260000,5421746.26238999981
