GISJOIN,STATEFP,PLACEFP,PLACENS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,PCICBSA,PCINECTA,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Leng,Shape_Area
G31000415,31,00415,02393893,3100415,Ainsworth,Ainsworth city,25,C5,N,N,G4110,A,2600318.00000000000,0.00000000000,+42.5484390,-099.8575224,10070.19219580000,2600318.84589000000
G31000555,31,00555,02393908,3100555,Albion,Albion city,25,C1,N,N,G4110,A,2684228.00000000000,0.00000000000,+41.6872985,-097.9987165,13106.71896370000,2684227.75191000011
G31001290,31,01290,02397957,3101290,Amherst,Amherst village,47,C1,N,N,G4110,A,565573.00000000000,0.00000000000,+40.8383725,-099.2695095,3496.55912647000,565572.84881300002
G31001465,31,01465,02397965,3101465,Anoka,Anoka village,47,C1,N,N,G4110,A,1451109.00000000000,0.00000000000,+42.9460000,-098.8285288,4834.38373651000,1451107.69216999994
G31001850,31,01850,02397977,3101850,Arcadia,Arcadia village,47,C1,N,N,G4110,A,1479286.00000000000,0.00000000000,+41.4248231,-099.1260618,5967.54462294000,1479288.98698999989
G31002375,31,02375,02398000,3102375,Ashton,Ashton village,47,C1,N,N,G4110,A,1533165.00000000000,0.00000000000,+41.2477482,-098.7951467,8168.77734866000,1533166.00004000007
G31002550,31,02550,02394013,3102550,Atkinson,Atkinson city,25,C1,N,N,G4110,A,4237368.00000000000,0.00000000000,+42.5308677,-098.9747280,14279.68467190000,4237369.47051000036
G31003005,31,03005,02398027,3103005,Bancroft,Bancroft village,47,C1,N,N,G4110,A,948354.00000000000,0.00000000000,+42.0105217,-096.5732649,6982.02969286000,948354.74343000003
G31003215,31,03215,02394076,3103215,Bassett,Bassett city,25,C1,N,N,G4110,A,1149327.00000000000,0.00000000000,+42.5825413,-099.5366247,6299.32394337000,1149329.01130999997
G31003250,31,03250,02394082,3103250,Battle Creek,Battle Creek city,25,C1,N,N,G4110,A,1827369.00000000000,0.00000000000,+41.9981188,-097.5994648,6760.71010367000,1827371.19436999992
G31003635,31,03635,02398068,3103635,Beemer,Beemer village,47,C1,N,N,G4110,A,1085916.00000000000,0.00000000000,+41.9298998,-096.8091675,5994.54000782000,1085917.76297000004
G31005455,31,05455,00837886,3105455,Bloomfield,Bloomfield city,25,C5,N,N,G4110,A,2113854.00000000000,0.00000000000,+42.5984121,-097.6481378,9243.01020450000,2113851.42747000000
G31006260,31,06260,02397450,3106260,Brewster,Brewster village,47,C1,N,N,G4110,A,229248.00000000000,0.00000000000,+41.9382713,-099.8649847,2333.03577846000,229246.31857500001
G31006400,31,06400,02397457,3106400,Bristow,Bristow village,47,C1,N,N,G4110,A,421037.00000000000,0.00000000000,+42.8407769,-098.5833069,4687.74590669000,421039.72428899998
G31007345,31,07345,02393477,3107345,Burwell,Burwell city,25,C5,N,N,G4110,A,2717305.00000000000,0.00000000000,+41.7800442,-099.1342141,8419.70829788000,2717303.95104999980
G31007660,31,07660,02397532,3107660,Callaway,Callaway village,47,C1,N,N,G4110,A,1806776.00000000000,0.00000000000,+41.2914462,-099.9203124,6431.38667768000,1806769.06822000002
G31008010,31,08010,02397563,3108010,Carroll,Carroll village,47,C1,N,N,G4110,A,394842.00000000000,0.00000000000,+42.2757769,-097.1909024,2746.63717729000,394843.32754799997
G31009200,31,09200,02393542,3109200,Clarkson,Clarkson city,25,C1,N,N,G4110,A,2049584.00000000000,0.00000000000,+41.7234244,-097.1215197,6152.28156097000,2049588.42173000006
G31009445,31,09445,02397643,3109445,Clearwater,Clearwater village,47,C1,N,N,G4110,A,949474.00000000000,0.00000000000,+42.1706976,-098.1897266,4322.12356081000,949473.72449599998
G31009655,31,09655,02398583,3109655,Clinton,Clinton village,47,C1,N,N,G4110,A,242808.00000000000,0.00000000000,+42.7597200,-102.3478828,2547.05866350000,242807.55206300001
G31009760,31,09760,02398594,3109760,Cody,Cody village,47,C1,N,N,G4110,A,2670379.00000000000,0.00000000000,+42.9377459,-101.2489275,6516.13947263000,2670380.66712999996
G31009865,31,09865,02398596,3109865,Coleridge,Coleridge village,47,C1,N,N,G4110,A,1324403.00000000000,0.00000000000,+42.5064575,-097.2028247,5954.07776940000,1324401.70815000008
G31010180,31,10180,02398610,3110180,Comstock,Comstock village,47,C1,N,N,G4110,A,908054.00000000000,0.00000000000,+41.5572040,-099.2429770,4191.47893891000,908049.46035499999
G31010250,31,10250,02398613,3110250,Concord,Concord village,47,C1,N,N,G4110,A,342415.00000000000,617.00000000000,+42.3841716,-096.9892931,3381.45025848000,343030.50891500001
G31010600,31,10600,02398630,3110600,Cornlea,Cornlea village,47,C1,N,N,G4110,A,239498.00000000000,0.00000000000,+41.6800494,-097.5669041,2398.85895322000,239497.10383899999
G31011090,31,11090,02398642,3111090,Craig,Craig village,47,C1,N,N,G4110,A,737367.00000000000,0.00000000000,+41.7852623,-096.3624334,4659.42486375000,737366.86553900002
G31011230,31,11230,00837947,3111230,Creighton,Creighton city,25,C5,N,N,G4110,A,3133827.00000000000,0.00000000000,+42.4648569,-097.9071460,9747.03858877000,3133829.44082000013
G31011300,31,11300,02398648,3111300,Creston,Creston village,47,C1,N,N,G4110,A,535830.00000000000,0.00000000000,+41.7079789,-097.3626550,3167.31913881000,535831.50129299995
G31011440,31,11440,00837950,3111440,Crofton,Crofton city,25,C5,N,N,G4110,A,1656494.00000000000,0.00000000000,+42.7316126,-097.4986080,8131.84082954000,1656492.90437999996
G31011475,31,11475,02398653,3111475,Crookston,Crookston village,47,C1,N,N,G4110,A,1125995.00000000000,0.00000000000,+42.9263106,-100.7534356,4950.95985752000,1125997.25414000009
G31011860,31,11860,02398661,3111860,Cushing,Cushing village,47,C1,N,N,G4110,A,796837.00000000000,0.00000000000,+41.2948273,-098.3692569,4018.32527806000,796835.55453099997
G31012140,31,12140,02398679,3112140,Dannebrog,Dannebrog village,47,C1,N,N,G4110,A,944997.00000000000,0.00000000000,+41.1186055,-098.5457351,5506.55048459000,944997.94779600005
G31013295,31,13295,02398733,3113295,Dodge,Dodge village,47,C1,N,N,G4110,A,1023157.00000000000,0.00000000000,+41.7218154,-096.8803848,5155.44377526000,1023148.58412000001
G31014380,31,14380,02398783,3114380,Eddyville,Eddyville village,47,C1,N,N,G4110,A,713923.00000000000,0.00000000000,+41.0122129,-099.6239957,4416.41632494000,713922.11059000005
G31014730,31,14730,02394645,3114730,Elgin,Elgin city,25,C1,N,N,G4110,A,1886370.00000000000,0.00000000000,+41.9831146,-098.0827731,7058.88846132000,1886372.91974000004
G31015605,31,15605,02398824,3115605,Elyria,Elyria village,47,C1,N,N,G4110,A,689410.00000000000,0.00000000000,+41.6800641,-099.0053156,4443.48407694000,689409.81142299995
G31015710,31,15710,02398827,3115710,Emerson,Emerson village,47,C1,N,N,G4110,A,1226129.00000000000,484.00000000000,+42.2782052,-096.7262904,5031.84613927000,1226610.33972000005
G31015815,31,15815,02398829,3115815,Emmet,Emmet village,47,C1,N,N,G4110,A,667731.00000000000,0.00000000000,+42.4756985,-098.8093017,3262.97793814000,667729.60246600001
G31016025,31,16025,02398839,3116025,Ericson,Ericson village,47,C1,N,N,G4110,A,970579.00000000000,0.00000000000,+41.7804417,-098.6785757,5096.18290912000,970578.66488499998
G31016270,31,16270,02398848,3116270,Ewing,Ewing village,47,C1,N,N,G4110,A,1154218.00000000000,0.00000000000,+42.2593592,-098.3437465,5887.45735151000,1154216.41928000003
G31016760,31,16760,02398866,3116760,Farwell,Farwell village,47,C1,N,N,G4110,A,447704.00000000000,0.00000000000,+41.2156230,-098.6280551,2766.29633398000,447703.33805199998
G31017110,31,17110,02398893,3117110,Fordyce,Fordyce village,47,C1,N,N,G4110,A,376569.00000000000,0.00000000000,+42.6982173,-097.3627734,2570.02009983000,376569.99229899998
G31017320,31,17320,02398907,3117320,Foster,Foster village,47,C1,N,N,G4110,A,577458.00000000000,0.00000000000,+42.2746986,-097.6650930,3270.50642139000,577456.46693700005
G31019160,31,19160,02587007,3119160,Glenwood,Glenwood CDP,57,U2,N,N,G4210,S,6218242.00000000000,0.00000000000,+40.7554589,-099.0810065,11200.43425150000,6218243.64128999971
G31019350,31,19350,02394933,3119350,Gordon,Gordon city,25,C5,N,N,G4110,A,2412412.00000000000,0.00000000000,+42.8064321,-102.2039383,11850.28469700000,2412414.56397000002
G31020050,31,20050,02398200,3120050,Greeley Center,Greeley Center village,47,C1,N,N,G4110,A,1630004.00000000000,0.00000000000,+41.5483441,-098.5305170,5230.67713269000,1630006.54446000000
G31020470,31,20470,02398220,3120470,Hadar,Hadar village,47,C1,N,N,G4110,A,1026158.00000000000,0.00000000000,+42.1072207,-097.4509717,4366.93150430000,1026157.60806999996
G31021275,31,21275,02394310,3121275,Hartington,Hartington city,25,C5,N,N,G4110,A,2594591.00000000000,0.00000000000,+42.6204426,-097.2671644,10703.15578460000,2594588.13022999978
G31021730,31,21730,02398268,3121730,Hay Springs,Hay Springs village,47,C1,N,N,G4110,A,974589.00000000000,0.00000000000,+42.6832898,-102.6895931,4465.25435822000,974594.73618899996
G31022185,31,22185,02398492,3122185,Herman,Herman village,47,C1,N,N,G4110,A,370305.00000000000,0.00000000000,+41.6738252,-096.2167185,3390.39313093000,370304.18149500003
G31023025,31,23025,02394414,3123025,Hooper,Hooper city,25,C1,N,N,G4110,A,1746193.00000000000,31602.00000000000,+41.6113733,-096.5486273,8018.95550397000,1777792.88724999991
G31023235,31,23235,02398546,3123235,Hoskins,Hoskins village,47,C1,N,N,G4110,A,799809.00000000000,0.00000000000,+42.1126357,-097.3043845,4098.81653053000,799808.91962499998
G31023270,31,23270,02398548,3123270,Howard City (Boelus),Howard City (Boelus) village,47,C1,N,N,G4110,A,1838952.00000000000,1778.00000000000,+41.0754106,-098.7153224,6216.78362456000,1840732.67124999990
G31023340,31,23340,02398549,3123340,Howells,Howells village,47,C1,N,N,G4110,A,1492898.00000000000,391.00000000000,+41.7242318,-097.0046448,5905.43624192000,1493290.99246999994
G31023375,31,23375,02398552,3123375,Hubbard,Hubbard village,47,C1,N,N,G4110,A,429110.00000000000,0.00000000000,+42.3859006,-096.5914870,3745.53320570000,429110.52018900000
G31023480,31,23480,02394447,3123480,Humphrey,Humphrey city,25,C1,N,N,G4110,A,1283337.00000000000,11500.00000000000,+41.6885058,-097.4851483,8131.98860681000,1294840.97601999994
G31024075,31,24075,02398576,3124075,Inman,Inman village,47,C1,N,N,G4110,A,740600.00000000000,0.00000000000,+42.3819146,-098.5298142,3624.20194046000,740602.99409299996
G31024740,31,24740,02398308,3124740,Johnstown,Johnstown village,47,C1,N,N,G4110,A,1379841.00000000000,0.00000000000,+42.5721027,-100.0562889,4944.87191446000,1379841.81261999998
G31025160,31,25160,02398336,3125160,Kenesaw,Kenesaw village,47,C1,N,N,G4110,A,2737736.00000000000,0.00000000000,+40.6189445,-098.6575852,6889.67156550000,2737735.53709000023
G31025405,31,25405,02398345,3125405,Kilgore,Kilgore village,47,C1,N,N,G4110,A,1159714.00000000000,0.00000000000,+42.9390974,-100.9573051,4828.49441858000,1159712.89137000008
G31026350,31,26350,02395644,3126350,Laurel,Laurel city,25,C1,N,N,G4110,A,3055022.00000000000,0.00000000000,+42.4301412,-097.0986364,11326.64417010000,3055027.47984999977
G31026560,31,26560,02398414,3126560,Leigh,Leigh village,47,C1,N,N,G4110,A,1550416.00000000000,28332.00000000000,+41.7032608,-097.2406795,7580.81482619000,1578745.49956999999
G31028105,31,28105,02398445,3128105,Lindsay,Lindsay village,47,C1,N,N,G4110,A,1227300.00000000000,16341.00000000000,+41.6992780,-097.6941202,6290.33895832000,1243640.58542999998
G31029050,31,29050,02395757,3129050,Long Pine,Long Pine city,25,C1,N,N,G4110,A,1500517.00000000000,0.00000000000,+42.5352522,-099.7026980,7878.03294261000,1500517.05263999989
G31029155,31,29155,02612512,3129155,Loretto,Loretto CDP,57,U1,N,N,G4210,S,726586.00000000000,0.00000000000,+41.7634436,-098.0817208,3891.99813597000,726586.42107699998
G31029470,31,29470,02395773,3129470,Loup City,Loup City city,25,C1,N,N,G4110,A,2439446.00000000000,0.00000000000,+41.2766825,-098.9677275,11422.09602700000,2439440.26482999977
G31029750,31,29750,02399206,3129750,Lynch,Lynch village,47,C1,N,N,G4110,A,1382671.00000000000,0.00000000000,+42.8312158,-098.4668537,8290.81907272000,1382668.88272000011
G31029855,31,29855,02395794,3129855,Lyons,Lyons city,25,C1,N,N,G4110,A,1768206.00000000000,20660.00000000000,+41.9358801,-096.4723383,6475.63305894000,1788867.01704999991
G31030310,31,30310,02399222,3130310,Magnet,Magnet village,47,C1,N,N,G4110,A,386196.00000000000,0.00000000000,+42.4561201,-097.4692941,3987.73256819000,386199.20647899999
G31031045,31,31045,02399270,3131045,Maskell,Maskell village,47,C1,N,N,G4110,A,406511.00000000000,0.00000000000,+42.6904178,-096.9808997,3494.07345996000,406510.75546399999
G31031465,31,31465,02399300,3131465,Meadow Grove,Meadow Grove village,47,C1,N,N,G4110,A,790252.00000000000,0.00000000000,+42.0290071,-097.7360402,4160.95612447000,790250.42515100003
G31031815,31,31815,02399320,3131815,Merriman,Merriman village,47,C1,N,N,G4110,A,2659545.00000000000,0.00000000000,+42.9229984,-101.6997320,6847.43894456000,2659543.32110999990
G31032130,31,32130,02399355,3132130,Miller,Miller village,47,C1,N,N,G4110,A,980672.00000000000,0.00000000000,+40.9276109,-099.3901197,4043.83531703000,980669.78890199994
G31032550,31,32550,02399382,3132550,Monowi,Monowi village,47,C1,N,N,G4110,A,548570.00000000000,0.00000000000,+42.8307050,-098.3295598,2993.08377906000,548568.16758000001
G31033775,31,33775,00838151,3133775,Neligh,Neligh city,25,C5,N,N,G4110,A,3785852.00000000000,29508.00000000000,+42.1290929,-098.0292289,14933.26165110000,3815364.19034000020
G31033985,31,33985,02399445,3133985,Nenzel,Nenzel village,47,C1,N,N,G4110,A,805808.00000000000,0.00000000000,+42.9273540,-101.1018038,4046.93007540000,805808.92534199997
G31034090,31,34090,02399491,3134090,Newcastle,Newcastle village,47,C1,N,N,G4110,A,876048.00000000000,0.00000000000,+42.6524131,-096.8740300,4533.00263617000,876047.90421199996
G31034230,31,34230,00838343,3134230,Newman Grove,Newman Grove city,25,C5,N,N,G4110,A,1411796.00000000000,0.00000000000,+41.7468924,-097.7767019,5706.32574659000,1411792.57150000008
G31034265,31,34265,02399493,3134265,Newport,Newport village,47,C1,N,N,G4110,A,823260.00000000000,0.00000000000,+42.6002180,-099.3283022,4627.49633678000,823260.82081399998
G31034370,31,34370,02399499,3134370,Niobrara,Niobrara village,47,C1,N,N,G4110,A,1886448.00000000000,0.00000000000,+42.7499500,-098.0315052,6287.42657121000,1886447.21378000011
G31035385,31,35385,02399541,3135385,Oakdale,Oakdale village,47,C1,N,N,G4110,A,1346199.00000000000,0.00000000000,+42.0700842,-097.9671589,5488.08362612000,1346198.98075000010
G31035490,31,35490,00838169,3135490,Oakland,Oakland city,25,C5,N,N,G4110,A,2476607.00000000000,1246.00000000000,+41.8350810,-096.4670510,12511.39504440000,2477848.98069000011
G31035560,31,35560,02399551,3135560,Obert,Obert village,47,C1,N,N,G4110,A,189245.00000000000,0.00000000000,+42.6895112,-097.0272220,1734.70048124000,189245.74659100000
G31035665,31,35665,02399555,3135665,Oconto,Oconto village,47,C1,N,N,G4110,A,526058.00000000000,0.00000000000,+41.1416592,-099.7619381,3330.69232966000,526060.33309700002
G31037105,31,37105,00838176,3137105,O'Neill,O'Neill city,25,C5,N,N,G4110,A,6178306.00000000000,0.00000000000,+42.4610187,-098.6464933,15806.78459110000,6178311.04576999974
G31037280,31,37280,02396074,3137280,Ord,Ord city,25,C1,N,N,G4110,A,5441498.00000000000,1395.00000000000,+41.6027813,-098.9192573,20963.93442350000,5442897.60543000046
G31038160,31,38160,02399613,3138160,Palmer,Palmer village,47,C1,N,N,G4110,A,1381520.00000000000,0.00000000000,+41.2224097,-098.2597607,7277.06450297000,1381517.18525000010
G31038750,31,38750,02399647,3138750,Pender,Pender village,47,C1,N,N,G4110,A,1829038.00000000000,0.00000000000,+42.1106149,-096.7115151,8269.36769969000,1829042.18143000011
G31038995,31,38995,02399659,3138995,Petersburg,Petersburg village,47,C1,N,N,G4110,A,967609.00000000000,0.00000000000,+41.8535716,-098.0810643,4709.27203739000,967610.42220200005
G31039100,31,39100,02396199,3139100,Pierce,Pierce city,25,C5,N,N,G4110,A,2370603.00000000000,55221.00000000000,+42.1992743,-097.5279520,10771.72432630000,2425823.72429999989
G31039135,31,39135,02399674,3139135,Pilger,Pilger village,47,C1,N,N,G4110,A,763991.00000000000,0.00000000000,+42.0074950,-097.0548758,4074.04665783000,763989.13072599994
G31039170,31,39170,02396221,3139170,Plainview,Plainview city,25,C5,N,N,G4110,A,2803017.00000000000,0.00000000000,+42.3533457,-097.7871449,10473.23376110000,2803016.66449999996
G31039695,31,39695,00838195,3139695,Ponca,Ponca city,25,C5,N,N,G4110,A,2002113.00000000000,0.00000000000,+42.5649528,-096.7091616,8821.45488892000,2002108.95090999990
G31040535,31,40535,02612513,3140535,Raeville,Raeville CDP,57,U1,N,N,G4210,S,128667.00000000000,0.00000000000,+41.8955820,-098.0536161,1441.82580716000,128666.63115000000
G31040675,31,40675,02396319,3140675,Randolph,Randolph city,25,C5,N,N,G4110,A,2468289.00000000000,0.00000000000,+42.3774991,-097.3578231,8152.82503571000,2468286.79330000002
G31041515,31,41515,02399087,3141515,Riverdale,Riverdale village,47,C1,N,N,G4110,A,683431.00000000000,0.00000000000,+40.7838865,-099.1604592,3735.55773042000,683428.42993200000
G31042075,31,42075,02399107,3142075,Rockville,Rockville village,47,C1,N,N,G4110,A,576146.00000000000,0.00000000000,+41.1184791,-098.8310760,4042.44779492000,576146.22853600001
G31042775,31,42775,02396454,3142775,Rushville,Rushville city,25,C5,N,N,G4110,A,2979337.00000000000,0.00000000000,+42.7133803,-102.4665627,10871.62440130000,2979334.22819000017
G31043265,31,43265,02396515,3143265,St. Paul,St. Paul city,25,C5,N,N,G4110,A,3210390.00000000000,0.00000000000,+41.2137095,-098.4594959,8430.64673823000,3210390.29318000004
