Name,State,Year,Population,Percent change
Agar,South Dakota,1930,200,0.0
Agar,South Dakota,1940,142,-29.0
Agar,South Dakota,1950,141,-0.7
Agar,South Dakota,1960,139,-1.4
Agar,South Dakota,1970,156,12.2
Agar,South Dakota,1980,139,-10.9
Agar,South Dakota,1990,82,-41.0
Agar,South Dakota,2000,82,0.0
Agar,South Dakota,2010,76,-7.3
Agar,South Dakota,2020,68,-10.5
Akaska,South Dakota,1910,114,0.0
Akaska,South Dakota,1920,101,-11.4
Akaska,South Dakota,1930,169,67.3
Akaska,South Dakota,1940,151,-10.7
Akaska,South Dakota,1950,84,-44.4
Akaska,South Dakota,1960,90,7.1
Akaska,South Dakota,1970,46,-48.9
Akaska,South Dakota,1980,49,6.5
Akaska,South Dakota,1990,52,6.1
Akaska,South Dakota,2000,31,-40.4
Akaska,South Dakota,2010,42,35.5
Akaska,South Dakota,2020,77,83.3
Altamont,South Dakota,1910,110,0.0
Altamont,South Dakota,1920,116,5.5
Altamont,South Dakota,1930,123,6.0
Altamont,South Dakota,1940,144,17.1
Altamont,South Dakota,1950,76,-47.2
Altamont,South Dakota,1960,77,1.3
Altamont,South Dakota,1970,54,-29.9
Altamont,South Dakota,1980,58,7.4
Altamont,South Dakota,1990,48,-17.2
Altamont,South Dakota,2000,34,-29.2
Altamont,South Dakota,2010,34,0.0
Altamont,South Dakota,2020,32,-5.9
Arlington,South Dakota,1890,270,0.0
Arlington,South Dakota,1900,314,16.3
Arlington,South Dakota,1910,791,151.9
Arlington,South Dakota,1920,1011,27.8
Arlington,South Dakota,1930,1020,0.9
Arlington,South Dakota,1940,1157,13.4
Arlington,South Dakota,1950,1096,-5.3
Arlington,South Dakota,1960,996,-9.1
Arlington,South Dakota,1970,954,-4.2
Arlington,South Dakota,1980,991,3.9
Arlington,South Dakota,1990,908,-8.4
Arlington,South Dakota,2000,992,9.3
Arlington,South Dakota,2010,915,-7.8
Arlington,South Dakota,2020,915,0.0
Armour,South Dakota,1890,482,0.0
Armour,South Dakota,1900,912,89.2
Armour,South Dakota,1910,968,6.1
Armour,South Dakota,1920,1045,8.0
Armour,South Dakota,1930,1009,-3.4
Armour,South Dakota,1940,1013,0.4
Armour,South Dakota,1950,900,-11.2
Armour,South Dakota,1960,875,-2.8
Armour,South Dakota,1970,925,5.7
Armour,South Dakota,1980,819,-11.5
Armour,South Dakota,1990,854,4.3
Armour,South Dakota,2000,782,-8.4
Armour,South Dakota,2010,699,-10.6
Armour,South Dakota,2020,698,-0.1
Artesian,South Dakota,1890,256,0.0
Artesian,South Dakota,1900,339,32.4
Artesian,South Dakota,1910,583,72.0
Artesian,South Dakota,1920,689,18.2
Artesian,South Dakota,1930,556,-19.3
Artesian,South Dakota,1940,502,-9.7
Artesian,South Dakota,1950,429,-14.5
Artesian,South Dakota,1960,330,-23.1
Artesian,South Dakota,1970,277,-16.1
Artesian,South Dakota,1980,227,-18.1
Artesian,South Dakota,1990,217,-4.4
Artesian,South Dakota,2000,157,-27.6
Artesian,South Dakota,2010,138,-12.1
Artesian,South Dakota,2020,129,-6.5
Avon,South Dakota,1910,451,0.0
Avon,South Dakota,1920,630,39.7
Avon,South Dakota,1930,670,6.3
Avon,South Dakota,1940,728,8.7
Avon,South Dakota,1950,692,-4.9
Avon,South Dakota,1960,637,-7.9
Avon,South Dakota,1970,610,-4.2
Avon,South Dakota,1980,576,-5.6
Avon,South Dakota,1990,576,0.0
Avon,South Dakota,2000,561,-2.6
Avon,South Dakota,2010,590,5.2
Avon,South Dakota,2020,586,-0.7
Badger,South Dakota,1920,162,0.0
