Name,State,Year,Population,Percent change
Albany,Texas,1880,129,0.0
Albany,Texas,1890,857,564.3
Albany,Texas,1920,1469,0.0
Albany,Texas,1930,2422,64.9
Albany,Texas,1940,2230,-7.9
Albany,Texas,1950,2241,0.5
Albany,Texas,1960,2174,-3.0
Albany,Texas,1970,1978,-9.0
Albany,Texas,1980,2450,23.9
Albany,Texas,1990,1962,-19.9
Albany,Texas,2000,1921,-2.1
Albany,Texas,2010,2034,5.9
Albany,Texas,2020,1854,-8.8
Anson,Texas,1890,495,0.0
Anson,Texas,1910,1842,0.0
Anson,Texas,1920,1425,-22.6
Anson,Texas,1930,2093,46.9
Anson,Texas,1940,2338,11.7
Anson,Texas,1950,2708,15.8
Anson,Texas,1960,2890,6.7
Anson,Texas,1970,2615,-9.5
Anson,Texas,1980,2831,8.3
Anson,Texas,1990,2644,-6.6
Anson,Texas,2000,2556,-3.3
Anson,Texas,2010,2430,-4.9
Anson,Texas,2020,2294,-5.6
Aspermont,Texas,1890,205,0.0
Aspermont,Texas,1920,436,0.0
Aspermont,Texas,1930,769,76.4
Aspermont,Texas,1940,1041,35.4
Aspermont,Texas,1950,1062,2.0
Aspermont,Texas,1960,1286,21.1
Aspermont,Texas,1970,1198,-6.8
Aspermont,Texas,1980,1357,13.3
Aspermont,Texas,1990,1214,-10.5
Aspermont,Texas,2000,1021,-15.9
Aspermont,Texas,2010,919,-10.0
Aspermont,Texas,2020,789,-14.1
Benjamin,Texas,1930,485,0.0
Benjamin,Texas,1940,599,23.5
Benjamin,Texas,1950,530,-11.5
Benjamin,Texas,1960,338,-36.2
Benjamin,Texas,1970,308,-8.9
Benjamin,Texas,1980,257,-16.6
Benjamin,Texas,1990,225,-12.5
Benjamin,Texas,2000,264,17.3
Benjamin,Texas,2010,258,-2.3
Benjamin,Texas,2020,196,-24.0
Chillicothe,Texas,1910,1207,0.0
Chillicothe,Texas,1920,1351,11.9
Chillicothe,Texas,1930,1610,19.2
Chillicothe,Texas,1940,1423,-11.6
Chillicothe,Texas,1950,1415,-0.6
Chillicothe,Texas,1960,1161,-18.0
Chillicothe,Texas,1970,1116,-3.9
Chillicothe,Texas,1980,1052,-5.7
Chillicothe,Texas,1990,816,-22.4
Chillicothe,Texas,2000,798,-2.2
Chillicothe,Texas,2010,707,-11.4
Chillicothe,Texas,2020,549,-22.3
Crosbyton,Texas,1920,809,0.0
Crosbyton,Texas,1930,1250,54.5
Crosbyton,Texas,1940,1615,29.2
Crosbyton,Texas,1950,1879,16.3
Crosbyton,Texas,1960,2088,11.1
Crosbyton,Texas,1970,2251,7.8
Crosbyton,Texas,1980,2289,1.7
Crosbyton,Texas,1990,2026,-11.5
Crosbyton,Texas,2000,1874,-7.5
Crosbyton,Texas,2010,1741,-7.1
Crosbyton,Texas,2020,1492,-14.3
Crowell,Texas,1910,1341,0.0
Crowell,Texas,1920,1175,-12.4
Crowell,Texas,1930,1946,65.6
Crowell,Texas,1940,1817,-6.6
Crowell,Texas,1950,1912,5.2
Crowell,Texas,1960,1703,-10.9
Crowell,Texas,1970,1399,-17.9
Crowell,Texas,1980,1509,7.9
Crowell,Texas,1990,1230,-18.5
Crowell,Texas,2000,1141,-7.2
Crowell,Texas,2010,948,-16.9
Crowell,Texas,2020,769,-18.9
Dodson,Texas,1930,426,0.0
Dodson,Texas,1940,357,-16.2
Dodson,Texas,1950,336,-5.9
Dodson,Texas,1960,308,-8.3
Dodson,Texas,1970,239,-22.4
Dodson,Texas,1980,185,-22.6
Dodson,Texas,1990,113,-38.9
Dodson,Texas,2000,115,1.8
Dodson,Texas,2010,109,-5.2
Dodson,Texas,2020,93,-14.7
Estelline,Texas,1920,394,0.0
Estelline,Texas,1930,950,141.1
Estelline,Texas,1940,603,-36.5
Estelline,Texas,1950,464,-23.1
Estelline,Texas,1960,346,-25.4
Estelline,Texas,1970,301,-13.0
Estelline,Texas,1980,258,-14.3
Estelline,Texas,1990,194,-24.8
Estelline,Texas,2000,168,-13.4
Estelline,Texas,2010,145,-13.7
Estelline,Texas,2020,121,-16.6
Floydada,Texas,1910,664,0.0
Floydada,Texas,1920,1384,108.4
Floydada,Texas,1930,2637,90.5
Floydada,Texas,1940,2726,3.4
Floydada,Texas,1950,3210,17.8
Floydada,Texas,1960,3769,17.4
Floydada,Texas,1970,4109,9.0
Floydada,Texas,1980,4193,2.0
Floydada,Texas,1990,3896,-7.1
Floydada,Texas,2000,3676,-5.6
Floydada,Texas,2010,3038,-17.4
Floydada,Texas,2020,2675,-11.9
Goree,Texas,1920,614,0.0
Goree,Texas,1930,457,-25.6
Goree,Texas,1940,425,-7.0
Goree,Texas,1950,640,50.6
Goree,Texas,1960,543,-15.2
Goree,Texas,1970,538,-0.9
Goree,Texas,1980,524,-2.6
Goree,Texas,1990,412,-21.4
Goree,Texas,2000,321,-22.1
Goree,Texas,2010,203,-36.8
Goree,Texas,2020,158,-22.2
Groom,Texas,1930,564,0.0
Groom,Texas,1940,475,-15.8
Groom,Texas,1950,678,42.7
Groom,Texas,1960,679,0.1
Groom,Texas,1970,808,19.0
Groom,Texas,1980,736,-8.9
Groom,Texas,1990,613,-16.7
Groom,Texas,2000,587,-4.2
Groom,Texas,2010,574,-2.2
Groom,Texas,2020,552,-3.8
Hamlin,Texas,1910,1978,0.0
Hamlin,Texas,1920,1633,-17.4
Hamlin,Texas,1930,2828,73.2
Hamlin,Texas,1940,2406,-14.9
Hamlin,Texas,1950,3569,48.3
Hamlin,Texas,1960,3791,6.2
Hamlin,Texas,1970,3325,-12.3
Hamlin,Texas,1980,3248,-2.3
Hamlin,Texas,1990,2791,-14.1
Hamlin,Texas,2000,2248,-19.5
Hamlin,Texas,2010,2124,-5.5
Hamlin,Texas,2020,1831,-13.8
Haskell,Texas,1890,745,0.0
Haskell,Texas,1910,2436,0.0
Haskell,Texas,1920,2300,-5.6
Haskell,Texas,1930,2632,14.4
Haskell,Texas,1940,3051,15.9
Haskell,Texas,1950,3836,25.7
Haskell,Texas,1960,4016,4.7
Haskell,Texas,1970,3655,-9.0
Haskell,Texas,1980,3782,3.5
Haskell,Texas,1990,3362,-11.1
Haskell,Texas,2000,3106,-7.6
Haskell,Texas,2010,3322,7.0
Haskell,Texas,2020,3089,-7.0
Idalou,Texas,1930,538,0.0
Idalou,Texas,1940,503,-6.5
Idalou,Texas,1950,1014,101.6
Idalou,Texas,1960,1274,25.6
Idalou,Texas,1970,1729,35.7
Idalou,Texas,1980,2348,35.8
Idalou,Texas,1990,2074,-11.7
Idalou,Texas,2000,2157,4.0
Idalou,Texas,2010,2250,4.3
Idalou,Texas,2020,2193,-2.5
Jayton,Texas,1910,314,0.0
Jayton,Texas,1930,623,0.0
Jayton,Texas,1940,770,23.6
Jayton,Texas,1950,635,-17.5
Jayton,Texas,1960,649,2.2
Jayton,Texas,1970,703,8.3
Jayton,Texas,1980,638,-9.2
Jayton,Texas,1990,608,-4.7
Jayton,Texas,2000,513,-15.6
Jayton,Texas,2010,534,4.1
Jayton,Texas,2020,511,-4.3
Knox City,Texas,1920,698,0.0
Knox City,Texas,1930,906,29.8
Knox City,Texas,1940,1127,24.4
Knox City,Texas,1950,1489,32.1
Knox City,Texas,1960,1805,21.2
Knox City,Texas,1970,1536,-14.9
Knox City,Texas,1980,1546,0.7
Knox City,Texas,1990,1440,-6.9
Knox City,Texas,2000,1219,-15.3
Knox City,Texas,2010,1130,-7.3
Knox City,Texas,2020,1065,-5.8
Lamesa,Texas,1920,1188,0.0
Lamesa,Texas,1930,3528,197.0
Lamesa,Texas,1940,6038,71.1
Lamesa,Texas,1950,10704,77.3
Lamesa,Texas,1960,12438,16.2
Lamesa,Texas,1970,11559,-7.1
Lamesa,Texas,1980,11790,2.0
Lamesa,Texas,1990,10809,-8.3
Lamesa,Texas,2000,9952,-7.9
Lamesa,Texas,2010,9422,-5.3
Lamesa,Texas,2020,8674,-7.9
Lefors,Texas,1930,952,0.0
Lefors,Texas,1940,809,-15.0
Lefors,Texas,1950,577,-28.7
Lefors,Texas,1960,864,49.7
Lefors,Texas,1970,816,-5.6
Lefors,Texas,1980,829,1.6
Lefors,Texas,1990,656,-20.9
Lefors,Texas,2000,559,-14.8
Lefors,Texas,2010,497,-11.1
Lefors,Texas,2020,420,-15.5
Lockney,Texas,1910,750,0.0
Lockney,Texas,1920,1118,49.1
Lockney,Texas,1930,1466,31.1
Lockney,Texas,1940,1231,-16.0
Lockney,Texas,1950,1692,37.4
Lockney,Texas,1960,2141,26.5
Lockney,Texas,1970,2094,-2.2
Lockney,Texas,1980,2334,11.5
Lockney,Texas,1990,2207,-5.4
Lockney,Texas,2000,2056,-6.8
Lockney,Texas,2010,1842,-10.4
Lockney,Texas,2020,1498,-18.7
Lorenzo,Texas,1930,739,0.0
Lorenzo,Texas,1940,616,-16.6
Lorenzo,Texas,1950,939,52.4
Lorenzo,Texas,1960,1188,26.5
Lorenzo,Texas,1970,1206,1.5
Lorenzo,Texas,1980,1394,15.6
Lorenzo,Texas,1990,1208,-13.3
Lorenzo,Texas,2000,1372,13.6
Lorenzo,Texas,2010,1147,-16.4
Lorenzo,Texas,2020,964,-16.0
Matador,Texas,1920,692,0.0
Matador,Texas,1930,1302,88.2
Matador,Texas,1940,1376,5.7
Matador,Texas,1950,1335,-3.0
Matador,Texas,1960,1217,-8.8
Matador,Texas,1970,1091,-10.4
Matador,Texas,1980,1052,-3.6
Matador,Texas,1990,790,-24.9
Matador,Texas,2000,740,-6.3
Matador,Texas,2010,607,-18.0
Matador,Texas,2020,569,-6.3
McLean,Texas,1910,633,0.0
McLean,Texas,1920,741,17.1
McLean,Texas,1930,1521,105.3
McLean,Texas,1940,1489,-2.1
McLean,Texas,1950,1439,-3.4
McLean,Texas,1960,1330,-7.6
McLean,Texas,1970,1183,-11.1
McLean,Texas,1980,1160,-1.9
McLean,Texas,1990,849,-26.8
McLean,Texas,2000,830,-2.2
McLean,Texas,2010,778,-6.3
McLean,Texas,2020,665,-14.5
Memphis,Texas,1910,1936,0.0
Memphis,Texas,1920,2839,46.6
Memphis,Texas,1930,4257,49.9
Memphis,Texas,1940,3869,-9.1
Memphis,Texas,1950,3810,-1.5
Memphis,Texas,1960,3332,-12.5
Memphis,Texas,1970,3227,-3.2
Memphis,Texas,1980,3352,3.9
Memphis,Texas,1990,2465,-26.5
Memphis,Texas,2000,2479,0.6
Memphis,Texas,2010,2290,-7.6
Memphis,Texas,2020,2048,-10.6
Munday,Texas,1910,956,0.0
Munday,Texas,1920,998,4.4
Munday,Texas,1930,1318,32.1
Munday,Texas,1940,1545,17.2
Munday,Texas,1950,2270,46.9
Munday,Texas,1960,1978,-12.9
Munday,Texas,1970,1726,-12.7
Munday,Texas,1980,1738,0.7
Munday,Texas,1990,1600,-7.9
Munday,Texas,2000,1527,-4.6
Munday,Texas,2010,1300,-14.9
